text,label,sarcasm_type,source,has_emoji,has_hashtag,text_length,clean_text,emoji_count
Feeling positive about the client call. 😊,0,none,synthetic,1,0.0,41.0,feeling positive about the client call 😊,
Love how the long meeting always happens to me.  #irony,1,understatement,synthetic,0,1.0,55.0,love how the long meeting always happens to me  irony,
I truly appreciate lunch with friends.,0,none,synthetic,0,0.0,38.0,i truly appreciate lunch with friends,
So happy that the delayed bus happened today. 😂 #life,1,situational,synthetic,1,1.0,53.0,so happy that the delayed bus happened today 😂 life,
family dinner went very well. 😊,0,none,synthetic,1,0.0,31.0,family dinner went very well 😊,
"Fantastic, my day is complete with the power cut.  #life",1,understatement,synthetic,0,1.0,56.0,fantastic my day is complete with the power cut  life,
the power cut was very helpful. 😊,0,none,synthetic,1,0.0,33.0,the power cut was very helpful 😊,
"Sure, because the weather today is exactly what I wanted. 😂 #irony",1,exaggeration,synthetic,1,1.0,66.0,sure because the weather today is exactly what i wanted 😂 irony,
Feeling positive about my phone battery dying. 😊,0,none,synthetic,1,0.0,48.0,feeling positive about my phone battery dying 😊,
Perfect timing for the client call. 😒 #irony,1,understatement,synthetic,1,1.0,44.0,perfect timing for the client call 😒 irony,
the power cut made me feel happy. 😊,0,none,synthetic,1,0.0,35.0,the power cut made me feel happy 😊,
"Yeah right, I just love my phone battery dying. 🙃 #mood",1,verbal_irony,synthetic,1,1.0,55.0,yeah right i just love my phone battery dying 🙃 mood,
I am excited about family dinner.,0,none,synthetic,0,0.0,33.0,i am excited about family dinner,
"Sure, because my internet crashing is exactly what I wanted.",1,verbal_irony,synthetic,0,0.0,60.0,sure because my internet crashing is exactly what i wanted,
I am excited about my phone battery dying. 😊,0,none,synthetic,1,0.0,44.0,i am excited about my phone battery dying 😊,
"Wow, just what I needed: extra homework. 😒",1,verbal_irony,synthetic,1,0.0,42.0,wow just what i needed extra homework 😒,
I really enjoyed the weather today today. 👍,0,none,synthetic,1,0.0,43.0,i really enjoyed the weather today today 👍,
Perfect timing for the exam schedule. 😅 #irony,1,situational,synthetic,1,1.0,46.0,perfect timing for the exam schedule 😅 irony,
my internet crashing improved my day. 🎉,0,none,synthetic,1,0.0,39.0,my internet crashing improved my day 🎉,
"Fantastic, my day is complete with the traffic jam. 🙃 #irony",1,understatement,synthetic,1,1.0,60.0,fantastic my day is complete with the traffic jam 🙃 irony,
my internet crashing was very helpful. 👍,0,none,synthetic,1,0.0,40.0,my internet crashing was very helpful 👍,
Perfect timing for the long meeting. 😅,1,understatement,synthetic,1,0.0,38.0,perfect timing for the long meeting 😅,
my vacation plans improved my day. 😊,0,none,synthetic,1,0.0,36.0,my vacation plans improved my day 😊,
"Fantastic, my day is complete with extra homework. 😅 #irony",1,exaggeration,synthetic,1,1.0,59.0,fantastic my day is complete with extra homework 😅 irony,
the feedback I got was very helpful.,0,none,synthetic,0,0.0,36.0,the feedback i got was very helpful,
"Sure, because the weather today is exactly what I wanted. 😅 #sarcasm",1,verbal_irony,synthetic,1,1.0,68.0,sure because the weather today is exactly what i wanted 😅 sarcasm,
I am grateful for lunch with friends. 👍,0,none,synthetic,1,0.0,39.0,i am grateful for lunch with friends 👍,
"Wow, just what I needed: lunch with friends.  #life",1,situational,synthetic,0,1.0,51.0,wow just what i needed lunch with friends  life,
Today was great because of teamwork in class. 🎉,0,none,synthetic,1,0.0,47.0,today was great because of teamwork in class 🎉,
Perfect timing for family dinner. 😅,1,situational,synthetic,1,0.0,35.0,perfect timing for family dinner 😅,
Today was great because of extra homework. 😊,0,none,synthetic,1,0.0,44.0,today was great because of extra homework 😊,
"Nice, the client call ruined everything. 😅 #sarcasm",1,exaggeration,synthetic,1,1.0,51.0,nice the client call ruined everything 😅 sarcasm,
I am grateful for my internet crashing.,0,none,synthetic,0,0.0,39.0,i am grateful for my internet crashing,
"Wow, just what I needed: the feedback I got.",1,verbal_irony,synthetic,0,0.0,44.0,wow just what i needed the feedback i got,
the presentation today made me feel happy. 😊,0,none,synthetic,1,0.0,44.0,the presentation today made me feel happy 😊,
"Amazing, my phone stopped working again.",1,verbal_irony,synthetic,0,0.0,40.0,amazing my phone stopped working again,
the project submission made me feel happy. 😊,0,none,synthetic,1,0.0,44.0,the project submission made me feel happy 😊,
So happy that the traffic jam happened today. 😒 #life,1,understatement,synthetic,1,1.0,53.0,so happy that the traffic jam happened today 😒 life,
I really enjoyed my internet crashing today.,0,none,synthetic,0,0.0,44.0,i really enjoyed my internet crashing today,
"Sure, because the exam schedule is exactly what I wanted. 😒",1,verbal_irony,synthetic,1,0.0,59.0,sure because the exam schedule is exactly what i wanted 😒,
the traffic jam improved my day. 👍,0,none,synthetic,1,0.0,34.0,the traffic jam improved my day 👍,
"Fantastic, my day is complete with the presentation today. 😒 #life",1,situational,synthetic,1,1.0,66.0,fantastic my day is complete with the presentation today 😒 life,
the project submission made me feel happy. 🎉,0,none,synthetic,1,0.0,44.0,the project submission made me feel happy 🎉,
"Oh great, another the delayed bus.  #irony",1,exaggeration,synthetic,0,1.0,42.0,oh great another the delayed bus  irony,
my vacation plans made me feel happy. 👍,0,none,synthetic,1,0.0,39.0,my vacation plans made me feel happy 👍,
"Oh great, another the feedback I got. 😅 #life",1,exaggeration,synthetic,1,1.0,45.0,oh great another the feedback i got 😅 life,
Feeling positive about the power cut. 👍,0,none,synthetic,1,0.0,39.0,feeling positive about the power cut 👍,
So happy that the feedback I got happened today. 😒 #irony,1,understatement,synthetic,1,1.0,57.0,so happy that the feedback i got happened today 😒 irony,
Feeling positive about the slow laptop. 🎉,0,none,synthetic,1,0.0,41.0,feeling positive about the slow laptop 🎉,
Love how the power cut always happens to me. 😅 #irony,1,understatement,synthetic,1,1.0,53.0,love how the power cut always happens to me 😅 irony,
family dinner made me feel happy. 😊,0,none,synthetic,1,0.0,35.0,family dinner made me feel happy 😊,
So happy that teamwork in class happened today. 😒,1,situational,synthetic,1,0.0,49.0,so happy that teamwork in class happened today 😒,
I am grateful for teamwork in class. 🎉,0,none,synthetic,1,0.0,38.0,i am grateful for teamwork in class 🎉,
"Fantastic, my day is complete with my workout. 😅",1,verbal_irony,synthetic,1,0.0,48.0,fantastic my day is complete with my workout 😅,
I truly appreciate the delayed bus. 😊,0,none,synthetic,1,0.0,37.0,i truly appreciate the delayed bus 😊,
Love how the power cut always happens to me. 😒 #sarcasm,1,verbal_irony,synthetic,1,1.0,55.0,love how the power cut always happens to me 😒 sarcasm,
I am grateful for lunch with friends. 👍,0,none,synthetic,1,0.0,39.0,i am grateful for lunch with friends 👍,
"Nice, working late ruined everything. 😂 #mood",1,understatement,synthetic,1,1.0,45.0,nice working late ruined everything 😂 mood,
I really enjoyed extra homework today. 😊,0,none,synthetic,1,0.0,40.0,i really enjoyed extra homework today 😊,
"Amazing, my headphones stopped working again. 😂 #mood",1,verbal_irony,synthetic,1,1.0,53.0,amazing my headphones stopped working again 😂 mood,
the slow laptop was very helpful.,0,none,synthetic,0,0.0,33.0,the slow laptop was very helpful,
"Sure, because the weather today is exactly what I wanted.  #irony",1,situational,synthetic,0,1.0,65.0,sure because the weather today is exactly what i wanted  irony,
I really enjoyed my workout today. 🎉,0,none,synthetic,1,0.0,36.0,i really enjoyed my workout today 🎉,
"Sure, because the long meeting is exactly what I wanted. 🙃 #mood",1,exaggeration,synthetic,1,1.0,64.0,sure because the long meeting is exactly what i wanted 🙃 mood,
the exam schedule was very helpful. 😊,0,none,synthetic,1,0.0,37.0,the exam schedule was very helpful 😊,
"Nice, the client call ruined everything.",1,exaggeration,synthetic,0,0.0,40.0,nice the client call ruined everything,
lunch with friends made me feel happy. 😊,0,none,synthetic,1,0.0,40.0,lunch with friends made me feel happy 😊,
"Nice, the exam schedule ruined everything. 🙃 #irony",1,verbal_irony,synthetic,1,1.0,51.0,nice the exam schedule ruined everything 🙃 irony,
my workout improved my day.,0,none,synthetic,0,0.0,27.0,my workout improved my day,
Love how the feedback I got always happens to me. 😂,1,exaggeration,synthetic,1,0.0,51.0,love how the feedback i got always happens to me 😂,
Feeling positive about working late. 🎉,0,none,synthetic,1,0.0,38.0,feeling positive about working late 🎉,
"Amazing, my phone stopped working again. 😅 #irony",1,verbal_irony,synthetic,1,1.0,49.0,amazing my phone stopped working again 😅 irony,
Feeling positive about the traffic jam. 😊,0,none,synthetic,1,0.0,41.0,feeling positive about the traffic jam 😊,
"Fantastic, my day is complete with my vacation plans. 😒 #irony",1,understatement,synthetic,1,1.0,62.0,fantastic my day is complete with my vacation plans 😒 irony,
I am excited about lunch with friends. 🎉,0,none,synthetic,1,0.0,40.0,i am excited about lunch with friends 🎉,
"Nice, the presentation today ruined everything. 😅 #irony",1,exaggeration,synthetic,1,1.0,56.0,nice the presentation today ruined everything 😅 irony,
I truly appreciate the feedback I got. 🎉,0,none,synthetic,1,0.0,40.0,i truly appreciate the feedback i got 🎉,
"Nice, my internet crashing ruined everything. 🙃 #mood",1,understatement,synthetic,1,1.0,53.0,nice my internet crashing ruined everything 🙃 mood,
the slow laptop was very helpful. 👍,0,none,synthetic,1,0.0,35.0,the slow laptop was very helpful 👍,
"Nice, my workout ruined everything. 😂 #life",1,understatement,synthetic,1,1.0,43.0,nice my workout ruined everything 😂 life,
I truly appreciate the exam schedule. 👍,0,none,synthetic,1,0.0,39.0,i truly appreciate the exam schedule 👍,
"Fantastic, my day is complete with extra homework. 😂 #life",1,verbal_irony,synthetic,1,1.0,58.0,fantastic my day is complete with extra homework 😂 life,
working late made me feel happy. 😊,0,none,synthetic,1,0.0,34.0,working late made me feel happy 😊,
"Yeah right, I just love lunch with friends. 🙃 #sarcasm",1,exaggeration,synthetic,1,1.0,54.0,yeah right i just love lunch with friends 🙃 sarcasm,
I truly appreciate the exam schedule. 👍,0,none,synthetic,1,0.0,39.0,i truly appreciate the exam schedule 👍,
"Oh great, another the slow laptop.",1,verbal_irony,synthetic,0,0.0,34.0,oh great another the slow laptop,
Feeling positive about the traffic jam.,0,none,synthetic,0,0.0,39.0,feeling positive about the traffic jam,
"Yeah right, I just love the project submission. 😂",1,verbal_irony,synthetic,1,0.0,49.0,yeah right i just love the project submission 😂,
Today was great because of my workout. 🎉,0,none,synthetic,1,0.0,40.0,today was great because of my workout 🎉,
Perfect timing for my workout. 🙃,1,understatement,synthetic,1,0.0,32.0,perfect timing for my workout 🙃,
the feedback I got went very well. 👍,0,none,synthetic,1,0.0,36.0,the feedback i got went very well 👍,
"Oh great, another the slow laptop.  #irony",1,verbal_irony,synthetic,0,1.0,42.0,oh great another the slow laptop  irony,
my workout improved my day.,0,none,synthetic,0,0.0,27.0,my workout improved my day,
"Nice, the power cut ruined everything. 😂 #life",1,situational,synthetic,1,1.0,46.0,nice the power cut ruined everything 😂 life,
Feeling positive about teamwork in class. 🎉,0,none,synthetic,1,0.0,43.0,feeling positive about teamwork in class 🎉,
"Fantastic, my day is complete with the long meeting. 😂 #life",1,verbal_irony,synthetic,1,1.0,60.0,fantastic my day is complete with the long meeting 😂 life,
I truly appreciate the weather today. 😊,0,none,synthetic,1,0.0,39.0,i truly appreciate the weather today 😊,
"Nice, the delayed bus ruined everything. 😂 #irony",1,understatement,synthetic,1,1.0,49.0,nice the delayed bus ruined everything 😂 irony,
the long meeting was very helpful. 😊,0,none,synthetic,1,0.0,36.0,the long meeting was very helpful 😊,
"Sure, because the power cut is exactly what I wanted.",1,understatement,synthetic,0,0.0,53.0,sure because the power cut is exactly what i wanted,
Today was great because of lunch with friends. 😊,0,none,synthetic,1,0.0,48.0,today was great because of lunch with friends 😊,
So happy that my vacation plans happened today. 😒 #irony,1,situational,synthetic,1,1.0,56.0,so happy that my vacation plans happened today 😒 irony,
Today was great because of the traffic jam. 👍,0,none,synthetic,1,0.0,45.0,today was great because of the traffic jam 👍,
Perfect timing for the weather today. 😒 #mood,1,exaggeration,synthetic,1,1.0,45.0,perfect timing for the weather today 😒 mood,
I really enjoyed the exam schedule today. 👍,0,none,synthetic,1,0.0,43.0,i really enjoyed the exam schedule today 👍,
"Fantastic, my day is complete with working late.  #irony",1,situational,synthetic,0,1.0,56.0,fantastic my day is complete with working late  irony,
I am excited about my workout. 😊,0,none,synthetic,1,0.0,32.0,i am excited about my workout 😊,
"Wow, just what I needed: lunch with friends. 😒",1,verbal_irony,synthetic,1,0.0,46.0,wow just what i needed lunch with friends 😒,
Today was great because of extra homework. 🎉,0,none,synthetic,1,0.0,44.0,today was great because of extra homework 🎉,
"Sure, because the feedback I got is exactly what I wanted. 😂 #sarcasm",1,verbal_irony,synthetic,1,1.0,69.0,sure because the feedback i got is exactly what i wanted 😂 sarcasm,
my phone battery dying made me feel happy. 🎉,0,none,synthetic,1,0.0,44.0,my phone battery dying made me feel happy 🎉,
Perfect timing for extra homework. 😅 #irony,1,exaggeration,synthetic,1,1.0,43.0,perfect timing for extra homework 😅 irony,
the delayed bus improved my day. 🎉,0,none,synthetic,1,0.0,34.0,the delayed bus improved my day 🎉,
"Sure, because working late is exactly what I wanted. 😅 #sarcasm",1,situational,synthetic,1,1.0,63.0,sure because working late is exactly what i wanted 😅 sarcasm,
I truly appreciate the traffic jam.,0,none,synthetic,0,0.0,35.0,i truly appreciate the traffic jam,
"Sure, because my workout is exactly what I wanted. 🙃",1,verbal_irony,synthetic,1,0.0,52.0,sure because my workout is exactly what i wanted 🙃,
the project submission went very well. 🎉,0,none,synthetic,1,0.0,40.0,the project submission went very well 🎉,
"Amazing, my WiFi stopped working again. 😒",1,understatement,synthetic,1,0.0,41.0,amazing my wifi stopped working again 😒,
the long meeting improved my day.,0,none,synthetic,0,0.0,33.0,the long meeting improved my day,
"Wow, just what I needed: the delayed bus. 😂 #sarcasm",1,understatement,synthetic,1,1.0,52.0,wow just what i needed the delayed bus 😂 sarcasm,
I am excited about my workout.,0,none,synthetic,0,0.0,30.0,i am excited about my workout,
So happy that extra homework happened today. 😂 #life,1,understatement,synthetic,1,1.0,52.0,so happy that extra homework happened today 😂 life,
I am excited about my vacation plans.,0,none,synthetic,0,0.0,37.0,i am excited about my vacation plans,
Perfect timing for teamwork in class. 😂 #mood,1,verbal_irony,synthetic,1,1.0,45.0,perfect timing for teamwork in class 😂 mood,
the client call improved my day.,0,none,synthetic,0,0.0,32.0,the client call improved my day,
Perfect timing for the traffic jam. 🙃 #life,1,verbal_irony,synthetic,1,1.0,43.0,perfect timing for the traffic jam 🙃 life,
I truly appreciate my workout. 👍,0,none,synthetic,1,0.0,32.0,i truly appreciate my workout 👍,
"Amazing, my printer stopped working again. 😅",1,exaggeration,synthetic,1,0.0,44.0,amazing my printer stopped working again 😅,
extra homework went very well. 👍,0,none,synthetic,1,0.0,32.0,extra homework went very well 👍,
Love how the traffic jam always happens to me. 😂 #sarcasm,1,situational,synthetic,1,1.0,57.0,love how the traffic jam always happens to me 😂 sarcasm,
I truly appreciate teamwork in class.,0,none,synthetic,0,0.0,37.0,i truly appreciate teamwork in class,
"Sure, because my phone battery dying is exactly what I wanted. 🙃 #mood",1,situational,synthetic,1,1.0,70.0,sure because my phone battery dying is exactly what i wanted 🙃 mood,
Today was great because of lunch with friends.,0,none,synthetic,0,0.0,46.0,today was great because of lunch with friends,
Perfect timing for the delayed bus.  #sarcasm,1,situational,synthetic,0,1.0,45.0,perfect timing for the delayed bus  sarcasm,
I truly appreciate the exam schedule. 😊,0,none,synthetic,1,0.0,39.0,i truly appreciate the exam schedule 😊,
Love how my vacation plans always happens to me. 😒 #life,1,situational,synthetic,1,1.0,56.0,love how my vacation plans always happens to me 😒 life,
the delayed bus improved my day. 🎉,0,none,synthetic,1,0.0,34.0,the delayed bus improved my day 🎉,
"Fantastic, my day is complete with the feedback I got. 😅",1,situational,synthetic,1,0.0,56.0,fantastic my day is complete with the feedback i got 😅,
I am grateful for my internet crashing. 👍,0,none,synthetic,1,0.0,41.0,i am grateful for my internet crashing 👍,
"Amazing, my laptop stopped working again.  #irony",1,situational,synthetic,0,1.0,49.0,amazing my laptop stopped working again  irony,
the power cut improved my day. 🎉,0,none,synthetic,1,0.0,32.0,the power cut improved my day 🎉,
"Sure, because my vacation plans is exactly what I wanted. 😂 #mood",1,situational,synthetic,1,1.0,65.0,sure because my vacation plans is exactly what i wanted 😂 mood,
Today was great because of lunch with friends. 😊,0,none,synthetic,1,0.0,48.0,today was great because of lunch with friends 😊,
"Fantastic, my day is complete with the exam schedule. 🙃 #irony",1,verbal_irony,synthetic,1,1.0,62.0,fantastic my day is complete with the exam schedule 🙃 irony,
teamwork in class improved my day. 🎉,0,none,synthetic,1,0.0,36.0,teamwork in class improved my day 🎉,
Perfect timing for the client call. 😂 #life,1,situational,synthetic,1,1.0,43.0,perfect timing for the client call 😂 life,
the delayed bus made me feel happy. 👍,0,none,synthetic,1,0.0,37.0,the delayed bus made me feel happy 👍,
So happy that my phone battery dying happened today. 😂 #life,1,understatement,synthetic,1,1.0,60.0,so happy that my phone battery dying happened today 😂 life,
I am grateful for the client call. 👍,0,none,synthetic,1,0.0,36.0,i am grateful for the client call 👍,
"Wow, just what I needed: the traffic jam. 🙃",1,verbal_irony,synthetic,1,0.0,43.0,wow just what i needed the traffic jam 🙃,
I am grateful for the weather today. 🎉,0,none,synthetic,1,0.0,38.0,i am grateful for the weather today 🎉,
Love how the traffic jam always happens to me. 😅,1,verbal_irony,synthetic,1,0.0,48.0,love how the traffic jam always happens to me 😅,
I really enjoyed the client call today. 🎉,0,none,synthetic,1,0.0,41.0,i really enjoyed the client call today 🎉,
So happy that the slow laptop happened today.  #irony,1,verbal_irony,synthetic,0,1.0,53.0,so happy that the slow laptop happened today  irony,
the weather today went very well.,0,none,synthetic,0,0.0,33.0,the weather today went very well,
"Oh great, another my workout. 😅 #sarcasm",1,understatement,synthetic,1,1.0,40.0,oh great another my workout 😅 sarcasm,
Feeling positive about the power cut. 👍,0,none,synthetic,1,0.0,39.0,feeling positive about the power cut 👍,
"Wow, just what I needed: the presentation today. 😒 #sarcasm",1,situational,synthetic,1,1.0,59.0,wow just what i needed the presentation today 😒 sarcasm,
the power cut went very well. 🎉,0,none,synthetic,1,0.0,31.0,the power cut went very well 🎉,
Love how working late always happens to me. 😂 #mood,1,situational,synthetic,1,1.0,51.0,love how working late always happens to me 😂 mood,
I am grateful for the presentation today. 🎉,0,none,synthetic,1,0.0,43.0,i am grateful for the presentation today 🎉,
"Yeah right, I just love the feedback I got. 😂 #life",1,understatement,synthetic,1,1.0,51.0,yeah right i just love the feedback i got 😂 life,
Feeling positive about my vacation plans. 😊,0,none,synthetic,1,0.0,43.0,feeling positive about my vacation plans 😊,
"Fantastic, my day is complete with lunch with friends. 🙃 #irony",1,verbal_irony,synthetic,1,1.0,63.0,fantastic my day is complete with lunch with friends 🙃 irony,
I truly appreciate the weather today. 👍,0,none,synthetic,1,0.0,39.0,i truly appreciate the weather today 👍,
"Amazing, my printer stopped working again. 😅 #sarcasm",1,situational,synthetic,1,1.0,53.0,amazing my printer stopped working again 😅 sarcasm,
the weather today improved my day.,0,none,synthetic,0,0.0,34.0,the weather today improved my day,
"Amazing, my AC stopped working again. 😂 #life",1,exaggeration,synthetic,1,1.0,45.0,amazing my ac stopped working again 😂 life,
I truly appreciate my phone battery dying. 👍,0,none,synthetic,1,0.0,44.0,i truly appreciate my phone battery dying 👍,
"Sure, because extra homework is exactly what I wanted. 😂 #irony",1,understatement,synthetic,1,1.0,63.0,sure because extra homework is exactly what i wanted 😂 irony,
I really enjoyed family dinner today. 😊,0,none,synthetic,1,0.0,39.0,i really enjoyed family dinner today 😊,
"Amazing, my printer stopped working again. 😂 #irony",1,situational,synthetic,1,1.0,51.0,amazing my printer stopped working again 😂 irony,
the slow laptop made me feel happy. 😊,0,none,synthetic,1,0.0,37.0,the slow laptop made me feel happy 😊,
"Fantastic, my day is complete with the power cut. 😂 #mood",1,understatement,synthetic,1,1.0,57.0,fantastic my day is complete with the power cut 😂 mood,
Today was great because of the project submission.,0,none,synthetic,0,0.0,50.0,today was great because of the project submission,
"Wow, just what I needed: my phone battery dying. 😒 #irony",1,verbal_irony,synthetic,1,1.0,57.0,wow just what i needed my phone battery dying 😒 irony,
Today was great because of family dinner.,0,none,synthetic,0,0.0,41.0,today was great because of family dinner,
"Wow, just what I needed: the presentation today. 🙃 #mood",1,understatement,synthetic,1,1.0,56.0,wow just what i needed the presentation today 🙃 mood,
Feeling positive about the weather today. 👍,0,none,synthetic,1,0.0,43.0,feeling positive about the weather today 👍,
"Yeah right, I just love the traffic jam. 😒",1,exaggeration,synthetic,1,0.0,42.0,yeah right i just love the traffic jam 😒,
Today was great because of my workout. 🎉,0,none,synthetic,1,0.0,40.0,today was great because of my workout 🎉,
"Wow, just what I needed: the traffic jam. 🙃 #irony",1,situational,synthetic,1,1.0,50.0,wow just what i needed the traffic jam 🙃 irony,
the power cut improved my day. 😊,0,none,synthetic,1,0.0,32.0,the power cut improved my day 😊,
Perfect timing for teamwork in class. 😒 #sarcasm,1,exaggeration,synthetic,1,1.0,48.0,perfect timing for teamwork in class 😒 sarcasm,
my phone battery dying was very helpful. 👍,0,none,synthetic,1,0.0,42.0,my phone battery dying was very helpful 👍,
"Sure, because the client call is exactly what I wanted. 😅 #mood",1,understatement,synthetic,1,1.0,63.0,sure because the client call is exactly what i wanted 😅 mood,
the project submission went very well.,0,none,synthetic,0,0.0,38.0,the project submission went very well,
"Oh great, another my workout.  #sarcasm",1,verbal_irony,synthetic,0,1.0,39.0,oh great another my workout  sarcasm,
the traffic jam improved my day. 🎉,0,none,synthetic,1,0.0,34.0,the traffic jam improved my day 🎉,
"Amazing, my phone stopped working again. 😅 #mood",1,exaggeration,synthetic,1,1.0,48.0,amazing my phone stopped working again 😅 mood,
the feedback I got was very helpful. 👍,0,none,synthetic,1,0.0,38.0,the feedback i got was very helpful 👍,
"Wow, just what I needed: the presentation today. 🙃",1,exaggeration,synthetic,1,0.0,50.0,wow just what i needed the presentation today 🙃,
my phone battery dying was very helpful.,0,none,synthetic,0,0.0,40.0,my phone battery dying was very helpful,
"Wow, just what I needed: my vacation plans. 😅 #life",1,understatement,synthetic,1,1.0,51.0,wow just what i needed my vacation plans 😅 life,
family dinner was very helpful.,0,none,synthetic,0,0.0,31.0,family dinner was very helpful,
Perfect timing for the power cut.  #irony,1,situational,synthetic,0,1.0,41.0,perfect timing for the power cut  irony,
working late improved my day.,0,none,synthetic,0,0.0,29.0,working late improved my day,
Perfect timing for my internet crashing.,1,verbal_irony,synthetic,0,0.0,40.0,perfect timing for my internet crashing,
Today was great because of the long meeting.,0,none,synthetic,0,0.0,44.0,today was great because of the long meeting,
Love how lunch with friends always happens to me. 🙃 #life,1,understatement,synthetic,1,1.0,57.0,love how lunch with friends always happens to me 🙃 life,
I really enjoyed the presentation today today. 👍,0,none,synthetic,1,0.0,48.0,i really enjoyed the presentation today today 👍,
So happy that the client call happened today. 🙃 #mood,1,situational,synthetic,1,1.0,53.0,so happy that the client call happened today 🙃 mood,
I really enjoyed the long meeting today.,0,none,synthetic,0,0.0,40.0,i really enjoyed the long meeting today,
"Amazing, my internet stopped working again. 🙃 #sarcasm",1,understatement,synthetic,1,1.0,54.0,amazing my internet stopped working again 🙃 sarcasm,
Feeling positive about lunch with friends.,0,none,synthetic,0,0.0,42.0,feeling positive about lunch with friends,
"Oh great, another the feedback I got. 🙃 #sarcasm",1,situational,synthetic,1,1.0,48.0,oh great another the feedback i got 🙃 sarcasm,
the presentation today improved my day. 👍,0,none,synthetic,1,0.0,41.0,the presentation today improved my day 👍,
"Amazing, my WiFi stopped working again. 😅 #mood",1,situational,synthetic,1,1.0,47.0,amazing my wifi stopped working again 😅 mood,
I am grateful for working late. 🎉,0,none,synthetic,1,0.0,33.0,i am grateful for working late 🎉,
"Yeah right, I just love my workout.  #mood",1,exaggeration,synthetic,0,1.0,42.0,yeah right i just love my workout  mood,
the traffic jam went very well.,0,none,synthetic,0,0.0,31.0,the traffic jam went very well,
"Yeah right, I just love the presentation today. 😂 #irony",1,verbal_irony,synthetic,1,1.0,56.0,yeah right i just love the presentation today 😂 irony,
lunch with friends went very well. 🎉,0,none,synthetic,1,0.0,36.0,lunch with friends went very well 🎉,
"Yeah right, I just love the project submission. 🙃 #sarcasm",1,understatement,synthetic,1,1.0,58.0,yeah right i just love the project submission 🙃 sarcasm,
Today was great because of family dinner.,0,none,synthetic,0,0.0,41.0,today was great because of family dinner,
So happy that extra homework happened today.  #life,1,situational,synthetic,0,1.0,51.0,so happy that extra homework happened today  life,
I am excited about my vacation plans. 😊,0,none,synthetic,1,0.0,39.0,i am excited about my vacation plans 😊,
